Entity,Year,WorkingHours,GeneralHappiness
Sweden,2009,1609.147437,95.786514
Sweden,2011,1632.51698,96.137657
Sweden,2012,1618.37533,96.929237
Sweden,2013,1608.718267,96.598755
Sweden,2015,1610.071972,96.396996
Sweden,2016,1626.45916,96.184067
Turkey,2005,1936.0,72.73632
Turkey,2006,1944.0,70.781799
Turkey,2007,1911.0,73.247704
Turkey,2008,1900.0,61.216354
Turkey,2009,1881.0,61.194031
Turkey,2011,1864.0,63.818478
Turkey,2012,1855.0,67.299995
Turkey,2013,1832.0,67.266182
Turkey,2015,1832.0,65.161423
Turkey,2016,1832.0,65.634041
United Kingdom,1973,1910.5585,85.0
United Kingdom,1975,1866.79766,83.968948
United Kingdom,1976,1849.890063,83.877808
United Kingdom,1977,1830.993336,83.399895
United Kingdom,1978,1811.102045,85.638557
United Kingdom,1979,1803.145529,85.497345
United Kingdom,1980,1757.39556,86.451164
United Kingdom,1981,1700.70538,83.4916
United Kingdom,1982,1715.623849,86.164818
United Kingdom,1983,1701.699945,84.180321
United Kingdom,1985,1750.433608,85.82634
United Kingdom,1986,1753.417301,85.419022
United Kingdom,1987,1742.477091,85.845444
United Kingdom,1988,1782.259673,79.578865
United Kingdom,1989,1770.324899,88.249222
United Kingdom,1990,1755.406431,85.609459
United Kingdom,1991,1752.422737,86.071266
United Kingdom,1992,1717.612978,84.493866
United Kingdom,1994,1721.591236,87.048027
United Kingdom,1996,1727.994205,86.400589
United Kingdom,1997,1705.116128,85.933899
United Kingdom,1999,1712.207937,83.133133
United Kingdom,2000,1699.119647,86.877144
United Kingdom,2001,1698.742178,87.912628
United Kingdom,2002,1681.328948,86.800369
United Kingdom,2003,1669.325626,87.450302
United Kingdom,2004,1654.634017,90.458015
United Kingdom,2005,1672.235787,88.497421
United Kingdom,2006,1666.61136,88.208237
United Kingdom,2007,1668.726205,89.456947
United Kingdom,2008,1647.067123,86.83548
United Kingdom,2009,1641.429246,88.905319
United Kingdom,2011,1643.421498,89.510559
United Kingdom,2012,1657.965861,91.145721
United Kingdom,2013,1668.114806,89.813713
United Kingdom,2014,1674.848996,93.073212
United Kingdom,2015,1657.484971,92.553238
United Kingdom,2016,1672.722605,93.058792
